,index,promptID,pairID,genre,sentence1_binary_parse,sentence2_binary_parse,sentence1_parse,sentence2_parse,sentence1,sentence2,label1,gold_label
228,265761,24050,24050c,fiction,( They ( ( ( did n't ) ( ( see daylight ) ( for months ) ) ) . ) ),( ( ( ( ( The sun ) ( was blocked ) ) and ) ( ( the world ) ( ( did not ) ( ( ( see ( the sun ) ) ( for months ) ) ( until ( it ( became unblocked ) ) ) ) ) ) ) . ),(ROOT (S (NP (PRP They)) (VP (VBD did) (RB n't) (VP (VB see) (NP (NN daylight)) (PP (IN for) (NP (NNS months))))) (. .))),(ROOT (S (S (NP (DT The) (NN sun)) (VP (VBD was) (VP (VBN blocked)))) (CC and) (S (NP (DT the) (NN world)) (VP (VBD did) (RB not) (VP (VB see) (NP (DT the) (NN sun)) (PP (IN for) (NP (NNS months))) (SBAR (IN until) (S (NP (PRP it)) (VP (VBD became) (ADJP (JJ unblocked)))))))) (. .))),They didn't see daylight for months.,The sun was blocked and the world did not see the sun for months until it became unblocked.,contradiction,contradiction
157,236353,114171,114171c,slate,( ( John McCain ) ( ( thinks ( that ( 's ( beneath him ) ) ) ) . ) ),( ( John McCain ) ( ( thought ( he ( was ( inferior ( to it ) ) ) ) ) . ) ),(ROOT (S (NP (NNP John) (NNP McCain)) (VP (VBZ thinks) (SBAR (IN that) (S (VP (VBZ 's) (PP (IN beneath) (NP (PRP him))))))) (. .))),(ROOT (S (NP (NNP John) (NNP McCain)) (VP (VBD thought) (SBAR (S (NP (PRP he)) (VP (VBD was) (ADJP (JJ inferior) (PP (TO to) (NP (PRP it)))))))) (. .))),John McCain thinks that's beneath him.,John McCain thought he was inferior to it.,contradiction,contradiction
130,189745,93894,93894e,telephone,( i ( 'm ( watching ( Ninja Turtles ) ) ) ),( I ( ( 'm ( watching ( Teenage ( Mutant ( Ninja Turtles ) ) ) ) ) . ) ),(ROOT (S (NP (FW i)) (VP (VBP 'm) (VP (VBG watching) (NP (NNP Ninja) (NNP Turtles)))))),(ROOT (S (NP (PRP I)) (VP (VBP 'm) (VP (VBG watching) (NP (JJ Teenage) (NNP Mutant) (NNP Ninja) (NNP Turtles)))) (. .))),i'm watching Ninja Turtles,I'm watching Teenage Mutant Ninja Turtles.,entailment,entailment
105,129183,93866,93866c,travel,( ( Mount Zion ) ( ( is ( dominated ( by ( ( the ( Dormition Abbey ) ) ( of ( the ( Benedictine monks ) ) ) ) ) ) ) . ) ),( ( Dormition Abbey ) ( ( dominates ( Mount Zion ) ) . ) ),(ROOT (S (NP (NNP Mount) (NNP Zion)) (VP (VBZ is) (VP (VBN dominated) (PP (IN by) (NP (NP (DT the) (NNP Dormition) (NNP Abbey)) (PP (IN of) (NP (DT the) (NNP Benedictine) (NNS monks))))))) (. .))),(ROOT (S (NP (NNP Dormition) (NNP Abbey)) (VP (VBZ dominates) (NP (NNP Mount) (NNP Zion))) (. .))),Mount Zion is dominated by the Dormition Abbey of the Benedictine monks.,Dormition Abbey dominates Mount Zion.,contradiction,contradiction
438,13672,127522,127522c,fiction,( ( ( Would you ) ? ) '' ),( ( The person ) ( ( is ( being ( asked ( if ( he could ) ) ) ) ) . ) ),(ROOT (SQ (MD Would) (NP (PRP you)) (. ?) ('' ''))),(ROOT (S (NP (DT The) (NN person)) (VP (VBZ is) (VP (VBG being) (VP (VBN asked) (SBAR (IN if) (S (NP (PRP he)) (VP (MD could))))))) (. .))),"Would you?""",The person is being asked if he could.,contradiction,contradiction
58,364486,3111,3111c,telephone,( ( ( okay ( ( yes yes ) ( i ( know ( because ( i ( know ( when ( ( my mother ) ( was ( a ( you ( know ( going ( into ( ( the ( work force ) ) ( there ( ( was n't ) ( very many ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) opportunities ) ( for ( ( her i ) ( guess ( she ( 's ( in ( ( her ( late forties ) ) ( ( ( you ( were ( expected ( to ( ( ( stay home ) and ) ( take ( care ( of ( the kids ) ) ) ) ) ) ) ) ) and ) ( i ( ( 've never ) ( faced ( that ( at all ) ) ) ) ) ) ) ) ) ) ) ) ) ),( ( When ( ( my mother ) ( was ( entering ( the workforce ) ) ) ) ) ( there ( ( ( ( were n't ) ( ( many opportunities ) ( for her ) ) ) ( because ( women ( ( were not ) ( ( treated equally ) ( to men ) ) ) ) ) ) . ) ) ),(ROOT (NP (NP (ADJP (JJ okay) (SBAR (S (INTJ (UH yes) (UH yes)) (NP (FW i)) (VP (VBP know) (SBAR (IN because) (S (NP (FW i)) (VP (VBP know) (SBAR (WHADVP (WRB when)) (S (NP (PRP$ my) (NN mother)) (VP (VBD was) (NP (DT a) (S (NP (PRP you)) (VP (VBP know) (S (VP (VBG going) (PP (IN into) (NP (NP (DT the) (NN work) (NN force)) (SBAR (S (NP (EX there)) (VP (VBD was) (RB n't) (ADJP (RB very) (JJ many)))))))))))))))))))))) (NNS opportunities)) (PP (IN for) (NP (NP (PRP$ her) (FW i)) (SBAR (S (VP (VBP guess) (SBAR (S (NP (PRP she)) (VP (VBZ 's) (PP (IN in) (NP (NP (PRP$ her) (JJ late) (NNS forties)) (SBAR (S (S (NP (PRP you)) (VP (VBD were) (VP (VBN expected) (S (VP (TO to) (VP (VP (VB stay) (NP (NN home))) (CC and) (VP (VB take) (NP (NP (NN care)) (PP (IN of) (NP (DT the) (NNS kids))))))))))) (CC and) (S (NP (FW i)) (VP (VBP 've) (ADVP (RB never)) (VP (VBN faced) (SBAR (IN that) (FRAG (ADVP (IN at) (DT all))))))))))))))))))))),(ROOT (S (SBAR (WHADVP (WRB When)) (S (NP (PRP$ my) (NN mother)) (VP (VBD was) (VP (VBG entering) (NP (DT the) (NN workforce)))))) (NP (EX there)) (VP (VBD were) (RB n't) (NP (NP (JJ many) (NNS opportunities)) (PP (IN for) (NP (PRP her)))) (SBAR (IN because) (S (NP (NNS women)) (VP (VBD were) (RB not) (VP (VBN treated) (ADVP (RB equally)) (PP (TO to) (NP (NNS men)))))))) (. .))),okay yes yes i know because i know when my mother was a you know going into the work force there wasn't very many opportunities for her i guess she's in her late forties you were expected to stay home and take care of the kids and i've never faced that at all,When my mother was entering the workforce there weren't many opportunities for her because women were not treated equally to men.,contradiction,contradiction
363,105922,117797,117797e,government,"( ( As ( a ( general rule ) ) ) ( , ( ( service ( area ( configuration decisions ) ) ) ( ( are ( evaluated ( against ( ( one ( overarching ( Program configuration ) ) ) ( should ( occur ( in ( ( a manner ) ( that ( ( maximizes ( ( the ( ( ( effective and ) efficient ) delivery ) ) ( of ( ( high ( quality ( legal services ) ) ) ( to ( eligible clients ) ) ) ) ) ) ( throughout ( ( the state ) ( within ( a ( comprehensive ( , ( integrated ( delivery system ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) . ) ) ) )",( There ( ( are ( ( general rules ) ( in ( every company ) ) ) ) . ) ),"(ROOT (S (PP (IN As) (NP (DT a) (JJ general) (NN rule))) (, ,) (NP (NN service) (NN area) (NN configuration) (NNS decisions)) (VP (VBP are) (VP (VBN evaluated) (PP (IN against) (NP (NP (CD one) (JJ overarching) (NN Program) (NN configuration)) (SBAR (S (VP (MD should) (VP (VB occur) (PP (IN in) (NP (NP (DT a) (NN manner)) (SBAR (WHNP (WDT that)) (S (VP (VBZ maximizes) (NP (NP (DT the) (ADJP (JJ effective) (CC and) (JJ efficient)) (NN delivery)) (PP (IN of) (NP (NP (JJ high) (JJ quality) (JJ legal) (NNS services)) (PP (TO to) (NP (JJ eligible) (NNS clients)))))) (PP (IN throughout) (NP (NP (DT the) (NN state)) (PP (IN within) (NP (DT a) (JJ comprehensive) (, ,) (JJ integrated) (NN delivery) (NN system)))))))))))))))))) (. .)))",(ROOT (S (NP (EX There)) (VP (VBP are) (NP (NP (JJ general) (NNS rules)) (PP (IN in) (NP (DT every) (NN company))))) (. .))),"As a general rule, service area configuration decisions are evaluated against one overarching  Program configuration should occur in a manner that maximizes the effective and efficient delivery of high quality legal services to eligible clients throughout the state within a comprehensive, integrated delivery system.",There are general rules in every company.,entailment,entailment
6,240182,16519,16519e,government,( ( Social ( insurance ( ( taxes and ) contributions ) ) ) ( paid ( by ( ( Federal employees ) ( -LRB- ( 575 -RRB- ) ) ) ) ) ),( There ( ( are ( ( no taxes ) ( for ( the ( Federal employees ) ) ) ) ) . ) ),(ROOT (S (NP (NNP Social) (NN insurance) (NNS taxes) (CC and) (NNS contributions)) (VP (VBN paid) (PP (IN by) (NP (NP (JJ Federal) (NNS employees)) (PRN (-LRB- -LRB-) (NP (NNP 575)) (-RRB- -RRB-))))))),(ROOT (S (NP (EX There)) (VP (VBP are) (NP (NP (DT no) (NNS taxes)) (PP (IN for) (NP (DT the) (NNP Federal) (NNS employees))))) (. .))),Social insurance taxes and contributions paid by Federal employees (575),There are no taxes for the Federal employees.,entailment,entailment
73,84644,32862,32862e,government,( ( ( ( CONTROLLABLE COST ) - ) ( ( A cost ) ( that ( can ( be ( influenced ( by ( ( the action ) ( of ( the ( responsible manager ) ) ) ) ) ) ) ) ) ) ) . ),( ( Controllable cost ) ( ( is ( ( a cost ) not ) ) ( influenced ( by ( action ( of ( a ( responsible manager ) ) ) ) ) ) ) ),(ROOT (NP (NP (NNP CONTROLLABLE) (NNP COST)) (: -) (NP (NP (DT A) (NN cost)) (SBAR (WHNP (WDT that)) (S (VP (MD can) (VP (VB be) (VP (VBN influenced) (PP (IN by) (NP (NP (DT the) (NN action)) (PP (IN of) (NP (DT the) (JJ responsible) (NN manager))))))))))) (. .))),(ROOT (S (NP (JJ Controllable) (NN cost)) (VP (VBZ is) (ADVP (NP (DT a) (NN cost)) (RB not)) (VP (VBN influenced) (PP (IN by) (NP (NP (NN action)) (PP (IN of) (NP (DT a) (JJ responsible) (NN manager))))))))),CONTROLLABLE COST - A cost that can be influenced by the action of the responsible manager.,Controllable cost is a cost not influenced by action of a responsible manager,entailment,entailment
473,363092,93398,93398e,fiction,( He ( ( would ( ( be ( back ( in control ) ) ) now ) ) . ) ),( He ( ( would ( ( control ( the village ) ) again ) ) . ) ),(ROOT (S (NP (PRP He)) (VP (MD would) (VP (VB be) (ADVP (RB back) (PP (IN in) (NP (NN control)))) (ADVP (RB now)))) (. .))),(ROOT (S (NP (PRP He)) (VP (MD would) (VP (VB control) (NP (DT the) (NN village)) (ADVP (RB again)))) (. .))),He would be back in control now.,He would control the village again.,entailment,entailment
318,302972,18675,18675e,telephone,( ( no ( ( not really ) i ) ) ( ( 'm not ) ( ( that up ) ( on ( ( that sort ) ( of thing ) ) ) ) ) ),( I ( ( would ( ( have ( to ( ( learn more ) ( about it ) ) ) ) ( before ( I ( could ( do it ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT no) (ADJP (RB not) (RB really)) (NN i)) (VP (VBP 'm) (RB not) (ADVP (ADVP (RB that) (RB up)) (PP (IN on) (NP (NP (DT that) (NN sort)) (PP (IN of) (NP (NN thing))))))))),(ROOT (S (NP (PRP I)) (VP (MD would) (VP (VB have) (S (VP (TO to) (VP (VB learn) (NP (JJR more)) (PP (IN about) (NP (PRP it)))))) (SBAR (IN before) (S (NP (PRP I)) (VP (MD could) (VP (VB do) (NP (PRP it)))))))) (. .))),no not really i'm not that up on that sort of thing,I would have to learn more about it before I could do it.,entailment,entailment
416,135737,100458,100458e,fiction,"( Well ( , ( he ( ( ( ( admitted , ) `` ) ( I ( guess ( it ( could ( be worse ) ) ) ) ) ) . ) ) ) )",( He ( ( denied ( that ( ( the situation ) ( could ( be ( ( any worse ) ( than ( it was ) ) ) ) ) ) ) ) . ) ),"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP he)) (VP (VBD admitted) (, ,) (`` ``) (S (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP it)) (VP (MD could) (VP (VB be) (ADJP (JJR worse))))))))) (. .)))",(ROOT (S (NP (PRP He)) (VP (VBD denied) (SBAR (IN that) (S (NP (DT the) (NN situation)) (VP (MD could) (VP (VB be) (ADJP (ADJP (RB any) (JJR worse)) (SBAR (IN than) (S (NP (PRP it)) (VP (VBD was)))))))))) (. .))),"Well, he admitted, ""I guess it could be worse.",He denied that the situation could be any worse than it was.,entailment,entailment
285,23812,69746,69746c,slate,"( ( When ( whites ( flee ( the ( central cities ) ) ) ) ) ( , ( they ( ( ( ( ( ( take ( with them ) ) ( most ( of ( the ( tax revenue ) ) ) ) ) , ) and ) ( leave ( behind ( ( a ( downward spiral ) ) ( of ( city services ) ) ) ) ) ) . ) ) ) )",( ( White flight ) ( also ( ( results ( in ( more crime ) ) ) . ) ) ),"(ROOT (S (SBAR (WHADVP (WRB When)) (S (NP (NNS whites)) (VP (VB flee) (NP (DT the) (JJ central) (NNS cities))))) (, ,) (NP (PRP they)) (VP (VP (VB take) (PP (IN with) (NP (PRP them))) (NP (NP (JJS most)) (PP (IN of) (NP (DT the) (NN tax) (NN revenue))))) (, ,) (CC and) (VP (VB leave) (PP (IN behind) (NP (NP (DT a) (JJ downward) (NN spiral)) (PP (IN of) (NP (NN city) (NNS services))))))) (. .)))",(ROOT (S (NP (NNP White) (NN flight)) (ADVP (RB also)) (VP (VBZ results) (PP (IN in) (NP (JJR more) (NN crime)))) (. .))),"When whites flee the central cities, they take with them most of the tax revenue, and leave behind a downward spiral of city services.",White flight also results in more crime.,contradiction,contradiction
