,Unnamed: 0,index,promptID,pairID,genre,sentence1_binary_parse,sentence2_binary_parse,sentence1_parse,sentence2_parse,sentence1,sentence2,label1,gold_label
26,26,37,76592,76592c,fiction,"( Poirot ( , ( ( ( ( ( I ( ( exclaimed , ) ( with relief ) ) ) , ) and ) ( ( ( seizing him ) ( by ( both hands ) ) ) ( , ( I ( ( dragged him ) ( into ( the room ) ) ) ) ) ) ) . ) ) )",( ( ( ( Poirot ( ( was now ) back ) ) and ) ( I ( ( was sorry ) ( that ( he ( would ( ( take over ) ( what ( I ( now ( considered ( my ( own investigation ) ) ) ) ) ) ) ) ) ) ) ) ) . ),"(ROOT (S (ADVP (RB Poirot)) (, ,) (S (NP (PRP I)) (VP (VBD exclaimed) (, ,) (PP (IN with) (NP (NN relief))))) (, ,) (CC and) (S (S (VP (VBG seizing) (NP (PRP him)) (PP (IN by) (NP (DT both) (NNS hands))))) (, ,) (NP (PRP I)) (VP (VBD dragged) (NP (PRP him)) (PP (IN into) (NP (DT the) (NN room))))) (. .)))",(ROOT (S (S (NP (NNP Poirot)) (VP (VBD was) (ADVP (RB now)) (ADVP (RB back)))) (CC and) (S (NP (PRP I)) (VP (VBD was) (ADJP (JJ sorry)) (SBAR (IN that) (S (NP (PRP he)) (VP (MD would) (VP (VB take) (PRT (RP over)) (SBAR (WHNP (WP what)) (S (NP (PRP I)) (ADVP (RB now)) (VP (VBD considered) (NP (PRP$ my) (JJ own) (NN investigation))))))))))) (. .))),"Poirot, I exclaimed, with relief, and seizing him by both hands, I dragged him into the room. ",Poirot was now back and I was sorry that he would take over what I now considered my own investigation. ,contradiction,contradiction
174,174,257,85560,85560n,government,"( ( ( ( ( Currently ( ( ( OASI and ) DI ) ( ( make payments ) ( to ( that Account ) ) ) ) ) , ) and ) ( HI ( receives payment ) ) ) . )",( ( The Account ) ( ( is ( ( the ( easiest way ) ) ( to ( keep ( track ( of ( payments ( ( made ( by ( ( OASI and ) DI ) ) ) ( on ( an ( annual basis ) ) ) ) ) ) ) ) ) ) ) . ) ),"(ROOT (S (S (ADVP (RB Currently)) (NP (NNP OASI) (CC and) (NNP DI)) (VP (VBP make) (NP (NNS payments)) (PP (TO to) (NP (DT that) (NNP Account))))) (, ,) (CC and) (S (NP (NNP HI)) (VP (VBZ receives) (NP (NN payment)))) (. .)))",(ROOT (S (NP (DT The) (NNP Account)) (VP (VBZ is) (NP (NP (DT the) (JJS easiest) (NN way)) (SBAR (S (VP (TO to) (VP (VB keep) (NP (NP (NN track)) (PP (IN of) (NP (NP (NNS payments)) (VP (VBN made) (PP (IN by) (NP (NNP OASI) (CC and) (NNP DI))) (PP (IN on) (NP (DT an) (JJ annual) (NN basis))))))))))))) (. .))),"Currently OASI and DI make payments to that Account, and HI receives payment.",The Account is the easiest way to keep track of payments made by OASI and DI on an annual basis.,neutral,neutral
280,280,416,133838,133838e,fiction,( ( Thank you ) ( . ( Tuppence ( ( ( felt ( a ( terrific rise ) ) ) ( in ( her spirits ) ) ) . ) ) ) ),( Tupperence ( ( ( felt better ) ( after ( this event ) ) ) . ) ),(ROOT (S (S (VP (VB Thank) (NP (PRP you)))) (. .) (NP (NNP Tuppence)) (VP (VBD felt) (NP (DT a) (JJ terrific) (NN rise)) (PP (IN in) (NP (PRP$ her) (NNS spirits)))) (. .))),(ROOT (S (NP (NNP Tupperence)) (VP (VBD felt) (ADVP (RBR better)) (PP (IN after) (NP (DT this) (NN event)))) (. .))),Thank you. Tuppence felt a terrific rise in her spirits.,Tupperence felt better after this event.,entailment,entailment
35,35,57,78697,78697n,travel,"( ( At ( ( the heart ) ( of ( the sanctuary ) ) ) ) ( , ( ( a ( small ( granite shrine ) ) ) ( once ( ( held ( ( ( the ( sacred barque ) ) ( of Horus ) ) himself ) ) . ) ) ) ) )",( Horus ( ( is ( a god ) ) . ) ),"(ROOT (S (PP (IN At) (NP (NP (DT the) (NN heart)) (PP (IN of) (NP (DT the) (NN sanctuary))))) (, ,) (NP (DT a) (JJ small) (NN granite) (NN shrine)) (ADVP (RB once)) (VP (VBD held) (S (NP (NP (DT the) (JJ sacred) (NN barque)) (PP (IN of) (NP (NNP Horus)))) (NP (PRP himself)))) (. .)))",(ROOT (S (NP (NNS Horus)) (VP (VBZ is) (NP (DT a) (NN god))) (. .))),"At the heart of the sanctuary, a small granite shrine once held the sacred barque of Horus himself.",Horus is a god.,neutral,neutral
250,250,369,28238,28238e,fiction,"( ( ( The troopers ) ( behind Muller ) ) ( ( ( stiffened ( into ( ( ( wooden soldiers ) , ) ( ( all ( expression vanishing ) ) ( from ( their features ) ) ) ) ) ) ( until ( they ( ( matched ( each other ) ) ( in ( exact anonymity ) ) ) ) ) ) . ) )",( Muller ( ( was ( with soldiers ) ) . ) ),"(ROOT (S (NP (NP (DT The) (NNS troopers)) (PP (IN behind) (NP (NNP Muller)))) (VP (VBD stiffened) (PP (IN into) (NP (NP (JJ wooden) (NNS soldiers)) (, ,) (NP (NP (DT all) (NN expression) (VBG vanishing)) (PP (IN from) (NP (PRP$ their) (NNS features)))))) (SBAR (IN until) (S (NP (PRP they)) (VP (VBD matched) (NP (DT each) (JJ other)) (PP (IN in) (NP (JJ exact) (NN anonymity))))))) (. .)))",(ROOT (S (NP (NNP Muller)) (VP (VBD was) (PP (IN with) (NP (NNS soldiers)))) (. .))),"The troopers behind Muller stiffened into wooden soldiers, all expression vanishing from their features until they matched each other in exact anonymity.",Muller was with soldiers.,entailment,entailment
241,241,357,140723,140723e,telephone,( i ( think ( ( ( ( ( ( on ( the ( local elections ) ) ) ( it ( ( 's actually ) um ) ) ) ( i ( think ( ( um i ) ( think ( people ( ( vote ( in ( the ( larger elections ) ) ) ) ( because ( they ( feel ( like ( ( ( well ( you ( know ( ( the country ) ( 's ( real important ) ) ) ) ) ) and ) ( you ( know ( if ( i ( elect ( if ( we ( help ( elect ( ( a president ) ( who ( 's ( going ( to ( ( save us ) then ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ( ( the ( then ( the ( whole country ) ) ) ) ( will ( be saved ) ) ) ) but ) ( they ( figure ( ( local elections ) ( ( do n't ) ( mean ( that ( ( much i ) ( suspect ( so ( people ( ( ( do n't ) really ) ( ( worry ( about ( their ( local ( ( mayor or ) something ) ) ) ) ) ( figuring ( that ( you ( know ( ( ( um and ) i ) ( think ( wrongly ( figuring ( that ( ( ( that well ) ( ( what good ) ( is ( ( another mayor ) ( going ( to ( ( do anyway ) ( because ( ( ( ( our ( federal taxes ) ) ( ( are ( more important ) ) ( right now ) ) ) and ) ( you ( ( ( ( know and ) stuff ) ( like that ) ) ( so ( people ( think ( that ( ( that ( that ( they ( ( do n't ) ( have ( um ( ( that that ) ( it ( does n't ) ) ) ) ) ) ) ) ) ( ( does n't ) ( matter ( ( as much ) ( whereas ( i ( think ( it ( ( 's probably ) ( just ( the opposite ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ( ( ( is true ) ( i ( think ( it ( ( 's probably ) ( the case ) ) ) ) ) ) ( that ( people ( could ( have ( ( more effect ) ( on ( a ( local level ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ),( I ( ( think ( ( more people ) ( vote ( during ( ( the ( presidential elections ) ) ( than ( local elections ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (FW i)) (VP (VBP think) (S (S (PP (IN on) (NP (DT the) (JJ local) (NNS elections))) (NP (PRP it)) (VP (VBZ 's) (ADVP (RB actually)) (NP (NN um)))) (S (NP (FW i)) (VP (VBP think) (SBAR (S (NP (NN um) (NNS i)) (VP (VBP think) (S (NP (NNS people)) (VP (VB vote) (PP (IN in) (NP (DT the) (JJR larger) (NNS elections))) (SBAR (IN because) (S (NP (PRP they)) (VP (VBP feel) (SBAR (IN like) (S (S (ADVP (RB well)) (NP (PRP you)) (VP (VBP know) (SBAR (S (NP (DT the) (NN country)) (VP (VBZ 's) (ADJP (RB real) (JJ important))))))) (CC and) (S (NP (PRP you)) (VP (VBP know) (SBAR (IN if) (S (NP (FW i)) (VP (VBP elect) (SBAR (IN if) (S (NP (PRP we)) (VP (VBP help) (VP (VB elect) (NP (NP (DT a) (NN president)) (SBAR (WHNP (WP who)) (S (VP (VBZ 's) (VP (VBG going) (S (VP (TO to) (VP (VB save) (NP (PRP us)) (ADVP (RB then))))))))))))))))))))))))))))))) (S (NP (DT the) (RB then) (DT the) (JJ whole) (NN country)) (VP (MD will) (VP (VB be) (VP (VBN saved))))) (CC but) (S (NP (PRP they)) (VP (VBP figure) (SBAR (S (NP (JJ local) (NNS elections)) (VP (VBP do) (RB n't) (VP (VB mean) (SBAR (IN that) (S (NP (JJ much) (NNS i)) (VP (VBP suspect) (SBAR (IN so) (S (NP (NNS people)) (VP (VBP do) (RB n't) (ADVP (RB really)) (VP (VB worry) (PP (IN about) (NP (PRP$ their) (JJ local) (NN mayor) (CC or) (NN something))) (S (VP (VBG figuring) (SBAR (IN that) (S (NP (PRP you)) (VP (VBP know) (SBAR (S (NP (NP (NN um)) (CC and) (NP (FW i))) (VP (VBP think) (S (VP (ADVP (RB wrongly)) (VBG figuring) (SBAR (IN that) (S (NP (NP (DT that) (NN well)) (SBAR (WHNP (WP what) (NN good)) (S (VP (VBZ is) (NP (NP (DT another) (NN mayor)) (VP (VBG going) (S (VP (TO to) (VP (VB do) (ADVP (RB anyway)) (SBAR (IN because) (S (S (NP (PRP$ our) (JJ federal) (NNS taxes)) (VP (VBP are) (ADJP (RBR more) (JJ important)) (ADVP (RB right) (RB now)))) (CC and) (S (NP (PRP you)) (VP (VBP know) (CC and) (VBP stuff) (PP (IN like) (NP (DT that))) (SBAR (IN so) (S (NP (NNS people)) (VP (VBP think) (SBAR (IN that) (S (NP (NP (DT that)) (SBAR (IN that) (S (NP (PRP they)) (VP (VBP do) (RB n't) (VP (VB have) (VP (VBN um) (SBAR (IN that) (IN that) (S (NP (PRP it)) (VP (VBZ does) (RB n't)))))))))) (VP (VBZ does) (RB n't) (VP (VB matter) (ADVP (ADVP (RB as) (RB much)) (SBAR (IN whereas) (S (NP (FW i)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (ADVP (RB probably)) (NP (RB just) (DT the) (NN opposite))))))))))))))))))))))))))))) (VP (VBZ is) (ADJP (JJ true)) (SBAR (S (NP (FW i)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (ADVP (RB probably)) (NP (DT the) (NN case)))))))) (SBAR (IN that) (S (NP (NNS people)) (VP (MD could) (VP (VB have) (NP (NP (JJR more) (NN effect)) (PP (IN on) (NP (DT a) (JJ local) (NN level)))))))))))))))))))))))))))))))))))))),(ROOT (S (NP (PRP I)) (VP (VBP think) (S (NP (JJR more) (NNS people)) (VP (VB vote) (PP (IN during) (NP (NP (DT the) (JJ presidential) (NNS elections)) (PP (IN than) (NP (JJ local) (NNS elections)))))))) (. .))),i think on the local elections it's actually um i think um i think people vote in the larger elections because they feel like well you know the country's real important and you know if i elect if we help elect a president who's going to save us then the then the whole country will be saved but they figure local elections don't mean that much i suspect so people don't really worry about their local mayor or something figuring that you know um and i think wrongly figuring that that well what good is another mayor going to do anyway because our federal taxes are more important right now and you know and stuff like that so people think that that that they don't have um that that it doesn't doesn't matter as much whereas i think it's probably just the opposite is true i think it's probably the case that people could have more effect on a local level,I think more people vote during the presidential elections than local elections.,entailment,entailment
59,59,89,109006,109006n,travel,"( ( Back ( on ( ( the road ) ( to Jaisalmer ) ) ) ) ( , ( ( ( one ( last splash ) ) ( of color ) ) ( ( ( delights ( the senses ) ) ( before ( you ( plunge ( into ( ( the ( the fields ) ) ( are ( dotted ( with ( mounds ( of ( red ( hot ( chili peppers ) ) ) ) ) ) ) ) ) ) ) ) ) ) . ) ) ) )",( ( ( The road ) ( to Jaisalmer ) ) ( ( is ( ( ( bumpy and ) unpleasant ) ( to ( ride on ) ) ) ) . ) ),"(ROOT (S (ADVP (RB Back) (PP (IN on) (NP (NP (DT the) (NN road)) (PP (TO to) (NP (NNP Jaisalmer)))))) (, ,) (NP (NP (CD one) (JJ last) (NN splash)) (PP (IN of) (NP (NN color)))) (VP (VBZ delights) (NP (DT the) (NNS senses)) (SBAR (IN before) (S (NP (PRP you)) (VP (VBP plunge) (PP (IN into) (NP (NP (DT the) (DT the) (NNS fields)) (SBAR (S (VP (VBP are) (VP (VBG dotted) (PP (IN with) (NP (NP (NNS mounds)) (PP (IN of) (NP (JJ red) (JJ hot) (NN chili) (NNS peppers))))))))))))))) (. .)))",(ROOT (S (NP (NP (DT The) (NN road)) (PP (TO to) (NP (NNP Jaisalmer)))) (VP (VBZ is) (ADJP (JJ bumpy) (CC and) (JJ unpleasant) (S (VP (TO to) (VP (VB ride) (PRT (RP on))))))) (. .))),"Back on the road to Jaisalmer, one last splash of color delights the senses before you plunge into the the fields are dotted with mounds of red hot chili peppers.",The road to Jaisalmer is bumpy and unpleasant to ride on. ,neutral,neutral
122,122,178,143502,143502n,fiction,( ( ( ( He ( 'd ( ( ( stopped wondering ) and ) ( now accepted ) ) ) ) ; ) ( ( ( he ( meant ( to ( ( get ( away ( from here ) ) ) ( at ( the ( first chance ) ) ) ) ) ) ) and ) ( he ( ( was somehow ) ( sure ( he could ) ) ) ) ) ) . ),( ( ( ( ( The ( doctors office ) ) ( was ( a ( terrible place ) ) ) ) and ) ( he ( wanted out ) ) ) . ),(ROOT (S (S (NP (PRP He)) (VP (VBD 'd) (VP (VP (VBN stopped) (S (VP (VBG wondering)))) (CC and) (VP (ADVP (RB now)) (VBN accepted))))) (: ;) (S (S (NP (PRP he)) (VP (VBD meant) (S (VP (TO to) (VP (VB get) (ADVP (RB away) (PP (IN from) (ADVP (RB here)))) (PP (IN at) (NP (DT the) (JJ first) (NN chance)))))))) (CC and) (S (NP (PRP he)) (VP (VBD was) (ADVP (RB somehow)) (ADJP (JJ sure) (SBAR (S (NP (PRP he)) (VP (MD could)))))))) (. .))),(ROOT (S (S (NP (DT The) (NNS doctors) (NN office)) (VP (VBD was) (NP (DT a) (JJ terrible) (NN place)))) (CC and) (S (NP (PRP he)) (VP (VBD wanted) (PRT (RP out)))) (. .))),He'd stopped wondering and now accepted; he meant to get away from here at the first chance and he was somehow sure he could.,The doctors office was a terrible place and he wanted out.,neutral,neutral
163,163,238,65249,65249e,slate,( Just ( a ( hunch . ) ) ),( It ( ( is just ) ( a guess ) ) ),(ROOT (NP (RB Just) (DT a) (NN hunch) (. .))),(ROOT (S (NP (PRP It)) (VP (VBZ is) (ADVP (RB just)) (NP (DT a) (NN guess))))),Just a hunch.,It is just a guess,entailment,entailment
302,302,448,19833,19833e,fiction,( ( The ( next witness ) ) ( ( was ( Mary Cavendish ) ) . ) ),( There ( ( was ( another witness ) ) . ) ),(ROOT (S (NP (DT The) (JJ next) (NN witness)) (VP (VBD was) (NP (NNP Mary) (NNP Cavendish))) (. .))),(ROOT (S (NP (EX There)) (VP (VBD was) (NP (DT another) (NN witness))) (. .))),The next witness was Mary Cavendish. ,There was another witness.,entailment,entailment
341,341,503,126630,126630n,government,( So ( ( the ( reverse hypothesis ) ) ( ( could ( be ( just ( as valid ) ) ) ) . ) ) ),( ( The ( opposite theory ) ) ( ( could ( be ( ( ( just ( as valid ) ) or ) worse ) ) ) . ) ),(ROOT (S (IN So) (NP (DT the) (JJ reverse) (NNS hypothesis)) (VP (MD could) (VP (VB be) (ADJP (RB just) (RB as) (JJ valid)))) (. .))),(ROOT (S (NP (DT The) (JJ opposite) (NN theory)) (VP (MD could) (VP (VB be) (ADJP (ADJP (RB just) (RB as) (JJ valid)) (CC or) (ADJP (JJR worse))))) (. .))),So the reverse hypothesis could be just as valid.,The opposite theory could be just as valid or worse.,neutral,neutral
138,138,204,63623,63623e,travel,"( However ( , ( ( little evidence ) ( ( ( remains ( of ( that era ) ) ) ( ( some ceramics ) ( in ( ( ( ( ( the museum ) , ) ( a ( few fortifications ) ) ) , ) ( ( a network ) ( of ( irrigation ditches ) ) ) ) ) ) ) . ) ) ) )",( There ( ( is ( ( little evidence ) ( left ( of ( that era ) ) ) ) ) . ) ),"(ROOT (S (ADVP (RB However)) (, ,) (NP (JJ little) (NN evidence)) (VP (VBZ remains) (PP (IN of) (NP (DT that) (NN era))) (NP (NP (DT some) (NNS ceramics)) (PP (IN in) (NP (NP (DT the) (NN museum)) (, ,) (NP (DT a) (JJ few) (NNS fortifications)) (, ,) (NP (NP (DT a) (NN network)) (PP (IN of) (NP (NN irrigation) (NNS ditches)))))))) (. .)))",(ROOT (S (NP (EX There)) (VP (VBZ is) (NP (NP (JJ little) (NN evidence)) (VP (VBN left) (PP (IN of) (NP (DT that) (NN era)))))) (. .))),"However, little evidence remains of that era some ceramics in the museum, a few fortifications, a network of irrigation ditches.",There is little evidence left of that era.,entailment,entailment
78,78,113,93208,93208e,telephone,( i ( 'm ( going ( to ( be ( able ( to ( make ( my ( own clothes ) ) ) ) ) ) ) ) ) ),( I ( ( will ( be ( able ( to ( make ( my ( own clothing ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (FW i)) (VP (VBP 'm) (VP (VBG going) (S (VP (TO to) (VP (VB be) (ADJP (JJ able) (S (VP (TO to) (VP (VB make) (NP (PRP$ my) (JJ own) (NNS clothes))))))))))))),(ROOT (S (NP (PRP I)) (VP (MD will) (VP (VB be) (ADJP (JJ able) (S (VP (TO to) (VP (VB make) (NP (PRP$ my) (JJ own) (NN clothing)))))))) (. .))),i'm going to be able to make my own clothes,I will be able to make my own clothing.,entailment,entailment
357,357,531,77776,77776c,travel,"( Israelis ( ( are ( delighted ( that ( ( people ( from everywhere ) ) ( ( ( ( visit ( their country ) ) , ) and ) ( ( welcome you ) ( with ( genuine warmth ) ) ) ) ) ) ) ) . ) )",( Israelis ( ( are ( cold ( toward travelers ) ) ) . ) ),"(ROOT (S (NP (NNPS Israelis)) (VP (VBP are) (ADJP (JJ delighted) (SBAR (IN that) (S (NP (NP (NNS people)) (PP (IN from) (NP (RB everywhere)))) (VP (VP (VB visit) (NP (PRP$ their) (NN country))) (, ,) (CC and) (VP (VB welcome) (NP (PRP you)) (PP (IN with) (NP (JJ genuine) (NN warmth))))))))) (. .)))",(ROOT (S (NP (NNPS Israelis)) (VP (VBP are) (ADJP (JJ cold) (PP (IN toward) (NP (NNS travelers))))) (. .))),"Israelis are delighted that people from everywhere visit their country, and welcome you with genuine warmth.",Israelis are cold toward travelers.,contradiction,contradiction
95,95,137,141334,141334n,government,"( ( Without ( ( the support ) ( of ( federal ( finance organizations ) ) ) ) ) ( , ( ( program managers ) ( ( ( may not ) ( be ( able ( to ( ( ( determine or ) defend ) ( ( ( ( the cost ) ( associated with ) ) or ) ( benefits ( derived ( from ( government activities ) ) ) ) ) ) ) ) ) ) . ) ) ) )",( ( Federal ( finance organizations ) ) ( ( are ( ( the ( best source ) ) ( of ( information ( for ( program managers ) ) ) ) ) ) . ) ),"(ROOT (S (PP (IN Without) (NP (NP (DT the) (NN support)) (PP (IN of) (NP (JJ federal) (NN finance) (NNS organizations))))) (, ,) (NP (NN program) (NNS managers)) (VP (MD may) (RB not) (VP (VB be) (ADJP (JJ able) (S (VP (TO to) (VP (VB determine) (CC or) (VB defend) (NP (NP (NP (DT the) (NN cost)) (VP (VBN associated) (PP (IN with)))) (CC or) (NP (NP (NNS benefits)) (VP (VBN derived) (PP (IN from) (NP (NN government) (NNS activities)))))))))))) (. .)))",(ROOT (S (NP (NNP Federal) (NN finance) (NNS organizations)) (VP (VBP are) (NP (NP (DT the) (JJS best) (NN source)) (PP (IN of) (NP (NP (NN information)) (PP (IN for) (NP (NN program) (NNS managers))))))) (. .))),"Without the support of federal finance organizations, program managers may not be able to determine or defend the cost associated with or benefits derived from government activities.",Federal finance organizations are the best source of information for program managers.,neutral,neutral
156,156,230,81600,81600c,telephone,( ( it 's ) ( um ( it ( 's ( it ( ( 's ( amazingly ( less expensive ) ) ) ( than ( it is ) ) ) ) ) ) ) ),( It ( ( 's ( ( much ( more expensive ) ) ( that way ) ) ) . ) ),(ROOT (S (NP (PRP it) (POS 's)) (VP (VBP um) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (ADJP (RB amazingly) (RBR less) (JJ expensive)) (SBAR (IN than) (S (NP (PRP it)) (VP (VBZ is))))))))))))),(ROOT (S (NP (PRP It)) (VP (VBZ 's) (NP (ADJP (RB much) (RBR more) (JJ expensive)) (DT that) (NN way))) (. .))),it's um it's it's amazingly less expensive than it is,It's much more expensive that way.,contradiction,contradiction
346,346,510,138930,138930c,government,"( ( An ( environmental expert ) ) ( ( may ( ( ( ( study ( ( the winds ) ( that ( flowed ( from ( ( the ( old ( Wingate ( landfill ( incinerator 's ) ) ) ) ) smokestacks ) ) ) ) ) ) , ) and ) ( ( identify ( wide areas ) ) ( where ( people ( may ( have ( been ( exposed ( to ( toxic chemicals ) ) ) ) ) ) ) ) ) ) ) . ) )",( ( Trying ( to ( identify ( placed ( where ( people ( could ( have ( been ( exposed ( to ( toxic chemicals ) ) ) ) ) ) ) ) ) ) ) ) ( ( is impossible ) . ) ),"(ROOT (S (NP (DT An) (JJ environmental) (NN expert)) (VP (MD may) (VP (VP (VB study) (NP (NP (DT the) (NNS winds)) (SBAR (WHNP (WDT that)) (S (VP (VBD flowed) (PP (IN from) (NP (NP (DT the) (JJ old) (NN Wingate) (NN landfill) (NN incinerator) (POS 's)) (NNS smokestacks)))))))) (, ,) (CC and) (VP (VB identify) (NP (JJ wide) (NNS areas)) (SBAR (WHADVP (WRB where)) (S (NP (NNS people)) (VP (MD may) (VP (VB have) (VP (VBN been) (VP (VBN exposed) (PP (TO to) (NP (JJ toxic) (NNS chemicals)))))))))))) (. .)))",(ROOT (S (S (VP (VBG Trying) (S (VP (TO to) (VP (VB identify) (ADJP (VBN placed) (SBAR (WHADVP (WRB where)) (S (NP (NNS people)) (VP (MD could) (VP (VB have) (VP (VBN been) (VP (VBN exposed) (PP (TO to) (NP (JJ toxic) (NNS chemicals))))))))))))))) (VP (VBZ is) (ADJP (JJ impossible))) (. .))),"An environmental expert may study the winds that flowed from the old Wingate landfill incinerator's smokestacks, and identify wide areas where people may have been exposed to toxic chemicals.",Trying to identify placed where people could have been exposed to toxic chemicals is impossible.,contradiction,contradiction
240,240,356,109098,109098e,slate,( ( Stop ( blaming John ) ) . ),( ( Quit ( holding ( John responsible ) ) ) . ),(ROOT (S (VP (VB Stop) (S (VP (VBG blaming) (NP (NNP John))))) (. .))),(ROOT (S (VP (VB Quit) (S (VP (VBG holding) (S (NP (NNP John)) (ADJP (JJ responsible)))))) (. .))),Stop blaming John.,Quit holding John responsible.,entailment,entailment
204,204,307,128025,128025c,government,( Auditors ( ( will ( need ( to ( ( exercise ( professional judgment ) ) ( in ( assessing ( ( the significance ) ( of ( audit ( ( results or ) findings ) ) ) ) ) ) ) ) ) ) . ) ),( Auditors ( ( ( are not ) ( responsible ( for ( ( the assessment ) ( of ( audit results ) ) ) ) ) ) . ) ),(ROOT (S (NP (NNS Auditors)) (VP (MD will) (VP (VB need) (S (VP (TO to) (VP (VB exercise) (NP (JJ professional) (NN judgment)) (PP (IN in) (S (VP (VBG assessing) (NP (NP (DT the) (NN significance)) (PP (IN of) (NP (NN audit) (NNS results) (CC or) (NNS findings)))))))))))) (. .))),(ROOT (S (NP (NNS Auditors)) (VP (VBP are) (RB not) (ADJP (JJ responsible) (PP (IN for) (NP (NP (DT the) (NN assessment)) (PP (IN of) (NP (NN audit) (NNS results))))))) (. .))),Auditors will need to exercise professional judgment in assessing the significance of audit results or findings.,Auditors are not responsible for the assessment of audit results.,contradiction,contradiction
329,329,487,1240,1240c,telephone,( ( uh Malaysia ) ( ( ( ( four years ) ( in Malaysia ) ) and ) ( ( three years ) ( in ( the Philippines ) ) ) ) ),( ( ( ( Six years ) ( in ( ( Malaysia and ) ( two years ) ) ) ) ( in ( the Philippines ) ) ) . ),(ROOT (NP (NP (NNP uh) (NNP Malaysia)) (NP (NP (NP (CD four) (NNS years)) (PP (IN in) (NP (NNP Malaysia)))) (CC and) (NP (NP (CD three) (NNS years)) (PP (IN in) (NP (DT the) (NNPS Philippines))))))),(ROOT (NP (NP (CD Six) (NNS years)) (PP (IN in) (NP (NP (NNP Malaysia)) (CC and) (NP (CD two) (NNS years)))) (PP (IN in) (NP (DT the) (NNPS Philippines))) (. .))),uh Malaysia four years in Malaysia and three years in the Philippines,Six years in Malaysia and two years in the Philippines.,contradiction,contradiction
229,229,341,111059,111059c,travel,"( ( Since 1917 ) ( , ( ( ( Grand ( Central Market ) ) ( -LRB- ( ( at ( 317 ( South Broadway ) ) ) -RRB- ) ) ) ( ( has ( ( provided ( the city ) ) ( with ( ( a ( daily cornucopia ) ) ( of ( enticing ( ( ( ( ( ( ( ( ( ( fresh produce ) , ) fish ) , ) poultry ) , ) meat ) , ) and ) ( exotic foodstuffs ) ) ) ) ) ) ) ) . ) ) ) )",( ( Up ( until 1917 ) ) ( ( was ( when ( ( the ( Central Market ) ) ( ( gave away ) ( free food ) ) ) ) ) . ) ),"(ROOT (S (PP (IN Since) (NP (CD 1917))) (, ,) (NP (NP (NNP Grand) (NNP Central) (NNP Market)) (PRN (-LRB- -LRB-) (PP (IN at) (NP (NNP 317) (NNP South) (NNP Broadway))) (-RRB- -RRB-))) (VP (VBZ has) (VP (VBN provided) (NP (DT the) (NN city)) (PP (IN with) (NP (NP (DT a) (JJ daily) (NN cornucopia)) (PP (IN of) (S (VP (VBG enticing) (NP (NP (JJ fresh) (NN produce)) (, ,) (NP (NN fish)) (, ,) (NP (NN poultry)) (, ,) (NP (NN meat)) (, ,) (CC and) (NP (JJ exotic) (NNS foodstuffs)))))))))) (. .)))",(ROOT (SINV (PP (RB Up) (IN until) (NP (CD 1917))) (VP (VBD was)) (SBAR (WHADVP (WRB when)) (S (NP (DT the) (NNP Central) (NNP Market)) (VP (VBD gave) (PRT (RP away)) (NP (JJ free) (NN food))))) (. .))),"Since 1917, Grand Central Market (at 317 South Broadway) has provided the city with a daily cornucopia of enticing fresh produce, fish, poultry, meat, and exotic foodstuffs.",Up until 1917 was when the Central Market gave away free food.,contradiction,contradiction
13,13,21,138444,138444e,fiction,( ( The ( other men ) ) ( shuffled . ) ),( ( The ( other men ) ) ( ( were ( shuffled around ) ) . ) ),(ROOT (S (NP (DT The) (JJ other) (NNS men)) (VP (VBD shuffled)) (. .))),(ROOT (S (NP (DT The) (JJ other) (NNS men)) (VP (VBD were) (VP (VBN shuffled) (PRT (RP around)))) (. .))),The other men shuffled.,The other men were shuffled around.,entailment,entailment
